EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
610224,COAHOMA CO.,AFRICA,12/23/2015,1501,Tornado, ,EF3,2,19,600000,0,MS,CST-6, ,102065,C,27,MEG,0,0,NWS Storm Survey, ,14.53,800,1.51,SSE,3.91,NE,CLAREMONT,12/23/2015,1517,34.0499,-90.6598,34.1695,-90.451,"This tornado developed over Northern Bolivar County and moved into Coahoma County. It strengthened and produced EF-3 damage south and east of Clarksdale where the two fatalities occurred. Twelve homes and two businesses were destroyed. Two homes also suffered minor damage. Numerous trees were snapped or uprooted. The tornado continued into Quitman County.","Strong surface low pressure tracked from the Plains into the Mississippi River Valley while a strong cold front pushed into the Mid-South on December 23, 2015. A very moist and unstable airmass moved into the area as a warm front lifted north through the region during the early morning hours. A potent upper level disturbance help to trigger thunderstorms along and in advance of the approaching cold front. The necessary ingredients were in place for storm to rapidly intensify. Three tornadoes touched down across North Mississippi including an EF-4 that caused severe damage.",1
610230,QUITMAN CO.,SABINO,12/23/2015,1517,Tornado, ,EF3,0,7,734000,0,MS,CST-6, ,102065,C,119,MEG,0,0,NWS Storm Survey, ,18.68,800,3.6,SW,4.2,E,DARLING,12/23/2015,1535,34.1695,-90.451,34.3402,-90.1974,"The tornado moved from Coahoma County into Quitman County and temporarily weakened. The tornado damaged nearly 20 homes to the west and southwest of Marks. The tornado then tracked into Panola County.","Strong surface low pressure tracked from the Plains into the Mississippi River Valley while a strong cold front pushed into the Mid-South on December 23, 2015. A very moist and unstable airmass moved into the area as a warm front lifted north through the region during the early morning hours. A potent upper level disturbance help to trigger thunderstorms along and in advance of the approaching cold front. The necessary ingredients were in place for storm to rapidly intensify. Three tornadoes touched down across North Mississippi including an EF-4 that caused severe damage.",2
610231,PANOLA CO.,CURTIS STATION,12/23/2015,1535,Tornado, ,EF3,0,2,1000000,0,MS,CST-6, ,102065,C,107,MEG,0,0,NWS Storm Survey, ,23.87,800,2.79,WNW,5.08,W,GLENVILLE,12/23/2015,1557,34.3402,-90.1974,34.5175,-89.8379,"This tornado moved from Quitman County into Panola County. Numerous trees were snapped or uprooted. As the tornado approached Interstate 55 the tornado damaged several homes. This is where the tornado reached peak intensity with winds estimated at 160 mph. The tornado crossed Interstate 55 between Sardis and Como and then dissipated east of Como. A total of 29 homes were affected in Panola. Eight homes were either destroyed or suffered major damage.","Strong surface low pressure tracked from the Plains into the Mississippi River Valley while a strong cold front pushed into the Mid-South on December 23, 2015. A very moist and unstable airmass moved into the area as a warm front lifted north through the region during the early morning hours. A potent upper level disturbance help to trigger thunderstorms along and in advance of the approaching cold front. The necessary ingredients were in place for storm to rapidly intensify. Three tornadoes touched down across North Mississippi including an EF-4 that caused severe damage.",3
610234,TATE CO.,TYRO,12/23/2015,1610,Tornado, ,EF4,0,0,5000,0,MS,CST-6, ,102065,C,137,MEG,0,0,NWS Storm Survey, ,2.4,1300,1.12,NNW,2.62,SSE,WYATTE,12/23/2015,1612,34.5955,-89.7055,34.6131,-89.6691,"The tornado developed over Southeast Tate County. The tornado caused minor roof damage to a house in Tyro before moving into Marshall County.","Strong surface low pressure tracked from the Plains into the Mississippi River Valley while a strong cold front pushed into the Mid-South on December 23, 2015. A very moist and unstable airmass moved into the area as a warm front lifted north through the region during the early morning hours. A potent upper level disturbance help to trigger thunderstorms along and in advance of the approaching cold front. The necessary ingredients were in place for storm to rapidly intensify. Three tornadoes touched down across North Mississippi including an EF-4 that caused severe damage.",4
610235,MARSHALL CO.,CHULAHOMA,12/23/2015,1612,Tornado, ,EF4,2,30,5000000,0,MS,CST-6, ,102065,C,93,MEG,0,0,NWS Storm Survey, ,25.14,1300,3.38,SW,5.46,ENE,HIGDON,12/23/2015,1637,34.6131,-89.6691,34.8117,-89.2983,"The tornado tracked into Marshall County from Tate County. As it moved into Marshall County the tornado heavily damaged several homes along Highway 4. The tornado produced damage to a church and surrounding trees southwest of Holly Springs that approached EF-4. The tornado moved across the southeastern edge of Holly Springs causing EF-2 to EF-3 damage. Numerous trees were uprooted or snapped. About 200 homes were damaged in Marshall County. Two fatalities occurred in Marshall County along with at least 30 injuries. The tornado then tracked into Benton County.","Strong surface low pressure tracked from the Plains into the Mississippi River Valley while a strong cold front pushed into the Mid-South on December 23, 2015. A very moist and unstable airmass moved into the area as a warm front lifted north through the region during the early morning hours. A potent upper level disturbance help to trigger thunderstorms along and in advance of the approaching cold front. The necessary ingredients were in place for storm to rapidly intensify. Three tornadoes touched down across North Mississippi including an EF-4 that caused severe damage.",5
610236,BENTON CO.,ASHLAND,12/23/2015,1637,Tornado, ,EF4,6,1,1960000,0,MS,CST-6, ,102065,C,9,MEG,0,0,NWS Storm Survey, ,18.32,1300,7.39,W,2.01,SSE,HOPEWELL,12/23/2015,1656,34.8117,-89.2983,34.9428,-89.0174,"The tornado crossed from Marshall County into Benton County near Highway 4 west of Ashland. The tornado appeared to strengthen as it entered Benton County. Several houses west-northwest of Ashland has damage approaching EF-4 with EF-4 damage observed in Northeast Benton County. Six fatalities occurred in Benton County. Eighty-five structures were affected in Benton County. Seventeen homes and fifteen mobile homes were destroyed. Fifteen homes and three mobile homes suffered major damage. Twenty homes and seven mobile homes had minor damage. Many acres of timber were also damaged or destroyed. The tornado then continued into Tippah County.","Strong surface low pressure tracked from the Plains into the Mississippi River Valley while a strong cold front pushed into the Mid-South on December 23, 2015. A very moist and unstable airmass moved into the area as a warm front lifted north through the region during the early morning hours. A potent upper level disturbance help to trigger thunderstorms along and in advance of the approaching cold front. The necessary ingredients were in place for storm to rapidly intensify. Three tornadoes touched down across North Mississippi including an EF-4 that caused severe damage.",6
610237,TIPPAH CO.,TIPLERSVILLE,12/23/2015,1656,Tornado, ,EF4,1,5,2500000,0,MS,CST-6, ,102065,C,139,MEG,0,0,NWS Storm Survey, ,7.83,1300,7.02,NW,0.39,SE,BROWNFIELD,12/23/2015,1703,34.9428,-89.0174,34.9958,-88.8952,"The tornado crossed from Benton County Mississippi into Tippah County. The tornado moved across far northwestern Tippah County damaging several homes in the Three Forks Community. One fatality occurred in Tippah County. Over 100 houses were affected and about 45 homes were destroyed. The tornado then crossed the Tennessee state line into Hardeman County.","Strong surface low pressure tracked from the Plains into the Mississippi River Valley while a strong cold front pushed into the Mid-South on December 23, 2015. A very moist and unstable airmass moved into the area as a warm front lifted north through the region during the early morning hours. A potent upper level disturbance help to trigger thunderstorms along and in advance of the approaching cold front. The necessary ingredients were in place for storm to rapidly intensify. Three tornadoes touched down across North Mississippi including an EF-4 that caused severe damage.",7
610239,HARDEMAN CO.,POOR,12/23/2015,1703,Tornado, ,EF4,0,0,227000,0,TN,CST-6, ,102042,C,69,MEG,0,0,NWS Storm Survey, ,7.09,1300,2.38,S,1.9,E,POCAHONTAS,12/23/2015,1711,34.9958,-88.8952,35.0471,-88.7866,"The tornado crossed from Tippah County into Hardeman County. As it crossed over the state line it destroyed a large metal agricultural building. A couple of houses and businesses were also damaged. The tornado then moved into McNairy County.","Strong surface low pressure tracked from the Plains into the Mississippi River Valley while a strong cold front pushed into the Mid-South on December 23, 2015. A very moist and unstable airmass moved into the area as a warm front lifted north through the region during the early morning hours. A potent upper level disturbance help to trigger thunderstorms along and in advance of the approaching cold front. The necessary ingredients were in place for storm to intensify to severe limits. There were several reports of large hail, damaging winds and flash flooding across West Tennessee during the late afternoon. A violent long track tornado moved from into parts of Hardeman and McNairy Counties from North Mississippi during the early evening.",8
611942,MCNAIRY CO.,CHEWALLA,12/23/2015,1711,Tornado, ,EF4,0,0,1230000,0,TN,CST-6, ,102042,C,109,MEG,0,0,NWS Storm Survey, ,14.31,1300,7.95,WNW,2.82,SE,SELMER,12/23/2015,1725,35.0471,-88.7866,35.1496,-88.5666,"The tornado moved into McNairy County from Hardeman County and began weakening. Around 15 homes were damaged or destroyed south of Selmer. The last observed damage was near Highway 45 on the southeast edge of Selmer.","Strong surface low pressure tracked from the Plains into the Mississippi River Valley while a strong cold front pushed into the Mid-South on December 23, 2015. A very moist and unstable airmass moved into the area as a warm front lifted north through the region during the early morning hours. A potent upper level disturbance help to trigger thunderstorms along and in advance of the approaching cold front. The necessary ingredients were in place for storm to intensify to severe limits. There were several reports of large hail, damaging winds and flash flooding across West Tennessee during the late afternoon. A violent long track tornado moved from into parts of Hardeman and McNairy Counties from North Mississippi during the early evening.",9
607146,WAYNE CO.,LUTTS,12/23/2015,1855,Tornado, ,EF3,0,4,2000000,500000,TN,CST-6, ,101491,C,181,OHX,0,0,NWS Storm Survey, ,25.29,800,1.33,SW,1.53,ESE,NORTH HIGHLAND,12/23/2015,1923,35.1353,-87.9651,35.3183,-87.577,"This strong, long-track EF3 tornado touched down just east of the Hardin County/Wayne County line about 2.5 miles southwest of the town of Lutts. At touchdown, hundreds of trees were snapped and uprooted before the tornado reached its peak strength about one half mile west-southwest of Lutts along Lutts Road where the tornado reached a width of 800 yards and EF3 strength. A post office and church, both brick buildings, were destroyed along with multiple homes swept from their foundations. Four people were injured here in Lutts. As the tornado continued northeast, hundreds of trees were snapped and uprooted along its path to where a concentrated area of trees were destroyed about 5 miles north of Collinwood. The tornado continued snapping and uprooting trees until the Highway 64 and Natchez Trace Parkway intersection. At this location, an outbuilding was destroyed along with the roof of a mobile home. Further northeast into Lawrence County along Napier Road, a house was swept off its foundation where 3 people were injured. As the tornado traveled northeast, several homes with roofs completely removed or damaged heavily were found along Linville Road. The tornado weakened as it crossed Lewis County into Maury County where a barn was destroyed and many trees were snapped and uprooted along Joy Road, 2 miles southwest of Mount Pleasant. The total path length of the tornado across Wayne, Lawrence, Lewis and Maury Counties was 48.51 miles.||This is the first tornado on record to occur in Wayne County, Lewis County, and Maury County in the month of December. Lawrence County previously had one tornado in the month of December, which occurred on December 7, 1951. In addition, this was the strongest tornado to occur in the NWS Nashville county warning area since April 10, 2009.","An unusually powerful upper level trough moved across the eastern United States on December 23, 2015, spawning widespread severe weather from the Gulf Coast to the Great Lakes. Several tornadic supercell thunderstorms developed across northern Mississippi and western Tennessee, which then moved rapidly east-northeastward at up to 70 mph across Middle Tennessee during the evening hours on December 23. These storms produced 4 long-track tornadoes that caused 2 deaths and 7 reported injuries. Only 7 tornadoes had been previously recorded across Middle Tennessee in the month of December from the 1800s through 2014, easily making this the largest and worst December tornado outbreak in Middle Tennessee history.||In addition to the tornadoes, several reports of wind damage, large hail, and flash flooding were received. Some of the worst flash flooding occurred in Maury County, where 3 teenagers drowned in a submerged vehicle on Carters Creek Pike.",10
