EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
605920,EL DORADO CO.,CLARKSVILLE,12/24/2015,1500,Tornado, ,EF1,0,0,1000000,0,CA,PST-8, ,101296,C,17,STO,0,0,Broadcast Media, ,6.21,100,4.29,NW,1.43,NW,SHINGLE SPGS ARPT,12/24/2015,1530,38.705,-121.1157,38.6919,-121.0018,"A tornado touched down at Folsom Lake, and tracked eastward through El Dorado Hills, damaging business and home roofs, and knocking down fences and trees. The tornado continued eastward about 6 miles into Cameron Park, though it was not on the ground continuously. More roofs, trees, and fences were damaged in Cameron Park. No injuries were reported, though a large tree narrowly missed falling on a vehicle with a family of 4.","A storm from the Gulf of Alaska brought over 2 feet of mountain snow, with lighter amounts into the foothills. Severe thunderstorms developed behind a cold front on the afternoon of the 24th and produced 2 tornadoes, one touching down in El Dorado Hills, the other in Ceres.",1
611403,STANISLAUS CO.,(MOD)MODESTO ARPT,12/24/2015,1515,Tornado, ,EF0,0,0,20000,0,CA,PST-8, ,101296,C,99,STO,0,0,NWS Storm Survey, ,0.23,30,0.85,SSW,0.88,S,(MOD)MODESTO ARPT,12/24/2015,1520,37.619,-120.9569,37.6175,-120.9531,"EFO tornado damage was confirmed in Ceres from Davis Rd. to Vinewood Dr. by a NWS damage survey team. A carport collapsed causing damage to a house. Several houses, trees and fences were damaged. The tornado was only on the ground for a brief time.","A storm from the Gulf of Alaska brought over 2 feet of mountain snow, with lighter amounts into the foothills. Severe thunderstorms developed behind a cold front on the afternoon of the 24th and produced 2 tornadoes, one touching down in El Dorado Hills, the other in Ceres.",2
614764,SAN BENITO CO.,DUNNEVILLE CORNERS,01/06/2016,850,Tornado, ,EF0,0,0,0,0,CA,PST-8, ,102865,C,69,MTR,0,0,NWS Employee, ,0.67,20,1.32,SE,1.76,ESE,DUNNEVILLE CORNERS,01/06/2016,851,36.9373,-121.3821,36.9402,-121.3705,"At 8:50 AM PST on the morning of January 6, 2016, a weak tornado touched down in a field between Highway 156 and Orchard Road approximately 7 miles north of Hollister, CA in San Benito County. Results from a damage survey conducted by the National Weather Service later that day showed the damage to be consistent with a tornado	of EF-0 intensity (maximum wind speeds of 75 MPH). The tornado lasted just a minute or two and caused spotty damage along a 3/4-mile length path 10-20 yards in width that crossed Orchard Road as it moved to the north-northeast. Two large barns/sheds were moderately-to-significantly damaged along with a fence and some trees.","At 8:50 AM PST on the morning of January 6, 2016, a weak tornado touched down in a field between Highway 156 and Orchard Road approximately 7 miles north of Hollister, CA in San Benito County. Results from a damage survey conducted by the National Weather Service later that day showed the damage to be consistent with a tornado	of EF-0 intensity (maximum wind speeds of 75 MPH). The tornado lasted just a minute or two and caused spotty damage along a 3/4-mile length path 10-20 yards in width that crossed Orchard Road as it moved to the north-northeast. Two large barns/sheds were moderately-to-significantly damaged along with a fence and some trees.",3
608302,SAN BENITO CO.,DUNNEVILLE CORNERS,01/06/2016,850,Tornado, ,EF0,0,0,0,75000,CA,PST-8, ,101646,C,69,MTR,0,0,NWS Employee, ,0.61,20,1.31,SE,1.75,ESE,DUNNEVILLE CORNERS,01/06/2016,852,36.9381,-121.3815,36.9402,-121.3708,"A weak (EF-0) tornado touched down in a field between Highway 156 and Orchard Road approximately 7 miles north of Hollister, CA in San Benito County. The tornado last just a minute or two and caused spotty damage along a 3/4-mile length path that was 10-20 yards in width. A large shed sustained significant damage with its roof blown off. The roof was also blown off a barn and there was significant damage to a fence on the same property.","A strong Pacific storm swept through the San Francisco Bay Area and Monterey Bay Area on Wednesday, January 6. This storm produced heavy rain, minor flooding, damaging winds, a funnel cloud, and one confirmed tornado.",4
634101,MONTEREY CO.,PARAISO SPGS,04/22/2016,1600,Tornado, ,EF0,0,0,0,0,CA,PST-8, ,104720,C,53,MTR,0,0,Social Media, ,0.24,15,3.75,ESE,3.98,ESE,PARAISO SPGS,04/22/2016,1601,36.3011,-121.313,36.2985,-121.3101,"A weak non-supercell EF0 tornado occurred Friday April 22, 2016 at around 4 pm associated with a line of showers along the leading edge of a cold front. Due to its non-supercell status, it will be referred to as a landspout, but is in the family of tornados.||Friday evening, 22 April, the Monterey WFO WCM was informed by a local TV meteorologist of a video posted to facebook showing a possible tornado or dust devil. The video was posted by and on the KRKC, Greenfield radio station, facebook page. Through the course of the evening of the 22nd and morning of the 23rd, the MTR WCM and WFO staff continued investigation through following up with the reporting TV meteorologist and reaching out to KRKC via facebook and email. By Saturday morning the 23rd the address and point of contact at the storm location was obtained and a storm survey was initiated.||The WFO MTR WCM was dispatched Saturday morning to perform a storm survey. The storm survey was done through the use of the Damage Assessment Toolkit (DAT) on the office iPad. Interviews were also conducted of eyewitnesses as part of the survey.|The visual survey was done with the help of an eyewitness who described where the landspout began, the path it took, damage it inflicted, and provided the visual confirmation of rotation. According to multiple accounts, the landspout began on the hillside NW of a small farm community, laying nearly flat a broad oak tree. As the landspout moved down the hill it likely went through a period of vortex stretching, allowing it to tighten up and spin a bit faster. Eyewitnesses say the landspout moved down off the hill and toward several small houses. It displaced two normal sized steel dumpsters about 30 yards in the direction of its travel. Along this flat land portion of the path the landspout encountered two oak trees, tearing off several large branches (3in diameter) and depositing them 20-30 yards away in a downpath direction. Damage assessment indicates the landspout weakened significantly while passing over several small housing structures and brushing by a barn. Once past these structures it encountered another downhill slope and re-intensified. The landspout then encountered a pole barn with a small to moderate size trailer parked beneath. There were no visible signs of damage to the trailer, but the pole barn showed significant roof damage. It is estimated that about half of the roof from the pole barn was damaged or torn off with this debris strewn about the area. Rotation is easily confirmed due to debris locations. Parts of the roof were thrown orthogonally to the right of the direction of movement, as far as 40 to 50 yards. Other portions of the roof were lifted up, taken with the landspout and scattered across a neighboring vineyard. The farthest deposit away from the pole barn is estimated at about 60 to 80 yards, along the landspout path to the southeast. Eyewitness video posted on KRKC facebook page shows the landspout at the far edge of the vineyard and entering a rapid dissipation phase.||Eyewitness accounts also included the following:.|No significant winds outside of the landspout.|Ears popping as the landspout passed.|A palette spinning in the air in the landspout���s early phase.|No palette was found and no damage from the palette was reported.|Thunder was heard in the area preceding the landspout.|Brief intense heavy rain followed the landspout.|One person reported two distinct circulations; one that descended from the cloud base and another that followed which spun up off the ground.||Atmospheric and observation conditions included:.|Occurred along the leading edge of a passing cold front.|Cloud bases were estimated from eyewitness video to be around 5kft.|Radar showed showers in the area.|Lowest angle of radar beam was at about 9-10kft over the area.|Appears to be a case of low topped convection which is normal for the immediate west coast.|Wind data in the area did not show significant speeds.","Greenfield spin-up Classified as an EF0 Tornado||A weak non-supercell EF0 tornado occurred Friday April 22, 2016 at around 4 pm associated with a line of showers along the leading edge of a cold front. Due to its non-supercell status, it will be referred to as a landspout, but is in the family of tornados.||Friday evening, 22 April, the Monterey WFO WCM was informed by a local TV meteorologist of a video posted to facebook showing a possible tornado or dust devil. The video was posted by and on the KRKC, Greenfield radio station, facebook page. Through the course of the evening of the 22nd and morning of the 23rd, the MTR WCM and WFO staff continued investigation through following up with the reporting TV meteorologist and reaching out to KRKC via facebook and email. By Saturday morning the 23rd the address and point of contact at the storm location was obtained and a storm survey was initiated.||The WFO MTR WCM was dispatched Saturday morning to perform a storm survey. The storm survey was done through the use of the Damage Assessment Toolkit (DAT) on the office iPad. Interviews were also conducted of eyewitnesses as part of the survey.|The visual survey was done with the help of an eyewitness who described where the landspout began, the path it took, damage it inflicted, and provided the visual confirmation of rotation. According to multiple accounts, the landspout began on the hillside NW of a small farm community, laying nearly flat a broad oak tree. As the landspout moved down the hill it likely went through a period of vortex stretching, allowing it to tighten up and spin a bit faster. Eyewitnesses say the landspout moved down off the hill and toward several small houses. It displaced two normal sized steel dumpsters about 30 yards in the direction of its travel. Along this flat land portion of the path the landspout encountered two oak trees, tearing off several large branches (3in diameter) and depositing them 20-30 yards away in a downpath direction. Damage assessment indicates the landspout weakened significantly while passing over several small housing structures and brushing by a barn. Once past these structures it encountered another downhill slope and re-intensified. The landspout then encountered a pole barn with a small to moderate size trailer parked beneath. There were no visible signs of damage to the trailer, but the pole barn showed significant roof damage. It is estimated that about half of the roof from the pole barn was damaged or torn off with this debris strewn about the area. Rotation is easily confirmed due to debris locations. Parts of the roof were thrown orthogonally to the right of the direction of movement, as far as 40 to 50 yards. Other portions of the roof were lifted up, taken with the landspout and scattered across a neighboring vineyard. The farthest deposit away from the pole barn is estimated at about 60 to 80 yards, along the landspout path to the southeast. Eyewitness video posted on KRKC facebook page shows the landspout at the far edge of the vineyard and entering a rapid dissipation phase.||Eyewitness accounts also included the following:|���	No significant winds outside of the landspout|���	Ears popping as the landspout passed|���	A palette spinning in the air in the landspout���s early phase|o	No palette was found and no damage from the palette was reported|���	Thunder was heard in the area preceding the landspout|���	Brief intense heavy rain followed the landspout|���	One person reported two distinct circulations; one that descended from the cloud base and another that followed which spun up off the ground||Atmospheric and observation conditions included:|���	Occurred along the leading edge of a passing cold front|���	Cloud bases were estimated from eyewitness video to be around 5kft|���	Radar showed showers in the area|���	Lowest angle of radar beam was at about 9-10kft over the area|���	Appears to be a case of low topped convection which is normal for the immediate west coast|���	Wind data in the area did not show significant speeds.",5
634102,NAPA CO.,OAK KNOLL,04/27/2016,1424,Tornado, ,EF0,0,0,0,0,CA,PST-8, ,105712,C,55,MTR,0,0,Broadcast Media, ,0.19,10,15.55,NE,15.71,NE,OAK KNOLL,04/27/2016,1426,38.5126,-122.1178,38.5127,-122.1144,"Waterspout formed on lake Berryessa during cold frontal passage. This was filmed by people visiting the lake and was only a blip on the radar due to distance and elevation from the radar. |LSR: https://mesonet.agron.iastate.edu/wx/afos/p.php?pil=LSRMTR&e=201604281650 .|Write up: http://www.wrh.noaa.gov/mtr/stormSummary/SvrWx4_27_16/svrwx_4_27_16.php .","The following can be found with photos and active links at:|http://www.wrh.noaa.gov/mtr/stormSummary/SvrWx4_27_16/svrwx_4_27_16.php||LSRMTR:|https://mesonet.agron.iastate.edu/wx/afos/p.php?pil=LSRMTR&e=201604281650||A storm swept through the Bay Area on the 27th of April, bringing showers, thunderstorms and even a waterspout. An upper level trough and associated cold front entered the North Bay early in the day and then moved southward through the entire Bay Area by the afternoon. The passing frontal boundary and cold air aloft help to set the stage for afternoon thunderstorms. Computer weather models forecasted the mid to late afternoon thunderstorm potential rather well. The GFS model imagery below depicts the passage of the upper level trough/low and associated precipitation. The NAM model imagery below depicts forecast surface based convective available potential energy (CAPE). In other words, CAPE is the measure of instability in the lower atmosphere (full definition here). Note the higher values of CAPE over northern Napa County and southern Monterey/San Benito Counties.||The cold frontal passage earlier in the day brought mostly stratiform rain to the Bay Area impacting the morning commute. However, after noon enough instability was present and thunderstorms began to develop over Monterey/San Benito Counties. See the radar animation below. These developing thunderstorms continued to track south and develop even further (remember the NAM CAPE forecast). Through radar interrogation it was determined that this particular thunderstorm contained hail. The question was, how big? After utilizing dual pol radar imagery and radar cross sections evidence was growing that larger hail could be present. One technique meteorologists use for analyzing hail is the strength of the radar returns above 0C and especially - 20C. In the image below, higher returns were easily seen above the 0C line and -20C. As a result, a Severe Thunderstorm Warning was issued with the main threats being hail of one inch and wind gusts to 60 mph. We had one report of hail associated with thunderstorm. Enough hail fell to cover the ground white and make it look like it snowed (picture).||Another notable thunderstorm that developed during the afternoon was located over northern Napa County (remember the NAM CAPE forecast). Thunderstorms developed north of Lake Berryessa and began tracking south(see radar image below). This particular thunderstorm eventually began to indicate weak rotation. The rotation detected on the KDAX radar ended up being a short-live waterspout. Confirmation of the waterspout was eventually reported via social media (see picture). In short, a waterspout is a tornado over water (full definition here).",6
633013,STANISLAUS CO.,WATERFORD,04/27/2016,1531,Tornado, ,EF0,0,0,500,0,CA,PST-8, ,105530,C,99,STO,0,0,Law Enforcement, ,0.1,5,2,SSE,2,SSE,WATERFORD,04/27/2016,1545,37.6233,-120.756,37.6233,-120.756,"An EF0 tornado with swirling debris was observed near Hickman elementary school by a Sheriff's deputy and several members of the public. A large eucalyptus tree was uprooted, a shed was moved off its foundation and pushed into a fence, and a green house was damaged.","A weather system resulted in thunderstorms developing across the Southern Sacramento and Northern San Joaquin valley and adjacent foothills of the Sierra Nevada Mountains. The storms resulted in half inch hail deep enough to cause slick road conditions, and slight damage to a carport. Lightning struck a tree, causing a portion of it to split off. An EF0 tornado was also observed that uprooted a eucalyptus tree and moved a shed off it's foundation.",7
674297,PLACER CO.,LINCOLN,01/09/2017,1400,Tornado, ,EF0,0,0,0,0,CA,PST-8, ,111564,C,61,STO,0,0,Broadcast Media, ,0.18,20,3.32,SW,3.14,SW,LINCOLN,01/09/2017,1402,38.8491,-121.3272,38.8502,-121.3241,"A brief tornado touchdown was photographed out in a grassy field in Lincoln, near Thunder Valley Casino, causing no damage.","Two strong storms brought a range of significant weather impacts to northern interior California. The first storm was very wet and warm, the second not quite as wet but cooler with lower snow levels. Both storms brought strong, damaging winds.  The heavy rain brought widespread flooding of small streams and rivers, with some flooding of main stem rivers, mountain snow many feet deep, and numerous trees down on roads, vehicles, and homes. Many roads, including major highways such as Interstate 80, were shut down due to mudslides, heavy snow, flooding, washouts or avalanche suppression.  EF0 tornadoes were reported at Lincoln and Natomas. Other significant impacts include numerous accidents due to slippery roads, evacuations and rescues due to flooding.",8
676664,SACRAMENTO CO.,DEL PASO HGTS,01/11/2017,1,Tornado, ,EF0,0,0,25000,0,CA,PST-8, ,111564,C,67,STO,0,0,NWS Storm Survey, ,0.42,130,1.93,NNW,1.99,N,DEL PASO HGTS,01/11/2017,4,38.6267,-121.4805,38.6286,-121.4731,"An NWS survey determined an EF0 tornado touched down in the southern Natomas area of Sacramento- South Natomas Tornado. The path length was 3/8 of a mile. Several trees and fences were downed. Two metal awnings were twisted and torn down. Numerous trees were stripped of limbs and deposited in the roadway.","Two strong storms brought a range of significant weather impacts to northern interior California. The first storm was very wet and warm, the second not quite as wet but cooler with lower snow levels. Both storms brought strong, damaging winds.  The heavy rain brought widespread flooding of small streams and rivers, with some flooding of main stem rivers, mountain snow many feet deep, and numerous trees down on roads, vehicles, and homes. Many roads, including major highways such as Interstate 80, were shut down due to mudslides, heavy snow, flooding, washouts or avalanche suppression.  EF0 tornadoes were reported at Lincoln and Natomas. Other significant impacts include numerous accidents due to slippery roads, evacuations and rescues due to flooding.",9
700418,SAN BERNARDINO CO.,ADELANTO,05/07/2017,1230,Tornado, ,EF0,0,0,0,0,CA,PST-8, ,116460,C,71,SGX,0,0,Social Media, ,0.01,50,2.82,N,2.55,N,(VCV)GEORGE AFB VICT,05/07/2017,1245,34.6207,-117.3743,34.6167,-117.375,"A landspout tornado occured near Southern California Logistics Airport in Victorville.","An upper level strong trough of low pressure moved down the California coast on May 6th, becoming an unseasonably deep (552 DM at 500 mb) closed low over Southern California on the 7th. An associated surface low tracked from San Bernardino County south along the San Diego County coast. The two combined to produce favorable up-slope flow near Palomar Mt. and Birch Hill that resulted in nearly a foot of snow, setting records for May. Elsewhere snowfall was limited to 2 to 5 inches above 5000 ft. Showers and thunderstorms were widespread and persistent, but lower rain rates limited impacts. An isolated thunderstorm produced a weak landspout tornado near Victorville, and multiple locations including Cypress and Redlands reported accumulations of small hail. Peak rainfall totals occurred in San Diego County, where 0.50 to 2.5 inches fell west of the mountains. Winds were breezy in the deserts, especially as the system deepened on the 6th, but impacts were minimal.",10
