EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
598280,MANATEE CO.,TERRA CEIA,10/01/2015,849,Tornado, ,EF0,0,0,12000,0,FL,EST-5, ,99762,C,81,TBW,0,0,Department of Highways, ,0.39,30,3,WNW,3,WNW,TERRA CEIA,10/01/2015,851,27.5904,-82.6278,27.588,-82.6221,"Multiple reports were received of a waterspout that formed over the Tampa Bay and came onshore as a brief tornado near the southern end of the Skyway Bridge. The tornado crossed Interstate 275 and caused damage to a trailer. Track location was estimated based off of amateur video.","A line of scattered showers associated with a weak cold front passage produced a breif lived waterspout over the Tampa Bay that came onshore near the southern end of the Skyway Bridge as a weak tornado. The tornado crossed Interstate 275, damaging a parked trailer.",1
598814,COASTAL BROWARD COUNTY (ZONE), ,10/01/2015,1000,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,99869,Z,172,MFL,0,0,Social Media, , , , , , , , ,10/01/2015,1000, , , , ,"Flooding during the morning high tide resulted in water deep enough to strand vehicles on Hendricks Isle. Report received via social media.","The continuing combination of higher than normal tidal departures coupled with the perigean spring tide resulted in continuing minor flooding of low lying roads at high tides into early October. Vulnerable locations along the Broward and Miami-Dade coast experienced saw flooding high enough to result in road closures during times of high tide.",2
598815,COASTAL MIAMI-DADE COUNTY (ZONE), ,10/01/2015,1100,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,99869,Z,173,MFL,0,0,Emergency Manager, , , , , , , , ,10/01/2015,1330, , , , ,"Tidal flooding led to the closure of portions of Indian Creek Drive (A1A).","The continuing combination of higher than normal tidal departures coupled with the perigean spring tide resulted in continuing minor flooding of low lying roads at high tides into early October. Vulnerable locations along the Broward and Miami-Dade coast experienced saw flooding high enough to result in road closures during times of high tide.",3
602256,PUTNAM (ZONE), ,10/03/2015,0,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,100598,Z,37,JAX,0,0,Emergency Manager, , , , , , , , ,10/09/2015,0, , , , ,"Significant river flooding impacted residences along the St Johns River and Dunns Creek area. Some residences along Dunns Creek at water flood into their homes over 16 days, with the highest values at high tide. Some river front homes in the Sportsman Harbor subdivision had water rushing into their yards, over docks and over other outdoor property. This area is a known area at high risk for flooding (Cat 1 storm surge inundation zone and flood zone), and has repetitive losses due to river flood impacts. Putnam County EM reported that most flood impacts were considered minor during this high water period. ||In a report, Putnam County Emergency Management observed minor flooding in residential areas of the St. Johns River and Dunn���s Creek since October 5, 2015. No flooding affected habitability was reported to Putnam County Emergency Management. In accordance with Florida Division of Emergency Management and FEMA damage assessment guidance, all residential impacts were categorized as ���minimally affected.��� Most observed impacts were standing water in roadways, private driveways and public drainage systems.","Persistent onshore flow combined with elevated Atlantic water levels due to much higher than normal astronomical tides with the approach and passage of the Super Harvest Blood Moon (occurred on Sept. 27) funneled a lot of water into the St. Johns River basin. Elevated water levels, some the highest experienced since the 2004 tropical storms (Jeanne and Frances) caused flooding of low lying areas and some property. One of the hardest hit areas were near Dunns Creek, Welaka and Satsuma in Putnam county.",4
602266,COASTAL DUVAL (ZONE), ,10/03/2015,0,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,100598,Z,125,JAX,0,0,NWS Storm Survey, , , , , , , , ,10/09/2015,0, , , , ,"Normally flood prone areas along the St. Johns River in San Marco and Southhampton experienced flooding of low lying areas during the high water period within the St. Johns River basin during early October 2015.","Persistent onshore flow combined with elevated Atlantic water levels due to much higher than normal astronomical tides with the approach and passage of the Super Harvest Blood Moon (occurred on Sept. 27) funneled a lot of water into the St. Johns River basin. Elevated water levels, some the highest experienced since the 2004 tropical storms (Jeanne and Frances) caused flooding of low lying areas and some property. One of the hardest hit areas were near Dunns Creek, Welaka and Satsuma in Putnam county.",5
602265,CLAY (ZONE), ,10/03/2015,0,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,100598,Z,32,JAX,0,0,Emergency Manager, , , , , , , , ,10/09/2015,0, , , , ,"Clay County EM reported river flooding due to higher than normal water levels within the St. Johns River basin. Areas that were impacted were along Cedar Road along the SW bank of Doctor's Lake and Deer Island Road along the St. Johns River south of the Bayard Conservation Area near the mouth of Clarkes Creek.  In both areas, tidal flooding periodically closed road access to homes and properties.","Persistent onshore flow combined with elevated Atlantic water levels due to much higher than normal astronomical tides with the approach and passage of the Super Harvest Blood Moon (occurred on Sept. 27) funneled a lot of water into the St. Johns River basin. Elevated water levels, some the highest experienced since the 2004 tropical storms (Jeanne and Frances) caused flooding of low lying areas and some property. One of the hardest hit areas were near Dunns Creek, Welaka and Satsuma in Putnam county.",6
597789,PINELLAS (ZONE), ,10/03/2015,1200,Rip Current, , ,1,0,0,0,FL,EST-5, ,99666,Z,50,TBW,0,0,Broadcast Media, , , , , , , , ,10/03/2015,1200, , , , ,"A 9 year old boy at St. Pete Beach was pushed out to sea by strong rip currents. His remains were found by local police two days later. A rip current statement was in effect at the time.","Strong onshore winds courtesy of a developing area of low pressure across the Deep South produced gusty winds, rough surf, and rip currents along area beaches.  A child at the beach with his family was caught in a rip and drowned.",7
602249,ST. JOHNS (ZONE), ,10/06/2015,915,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,100598,Z,33,JAX,0,0,Broadcast Media, , , , , , , , ,10/06/2015,915, , , , ,"Coastal flooding impacted the backyard of a home on the St. Johns River near Colee Cove.","Persistent onshore flow combined with elevated Atlantic water levels due to much higher than normal astronomical tides with the approach and passage of the Super Harvest Blood Moon (occurred on Sept. 27) funneled a lot of water into the St. Johns River basin. Elevated water levels, some the highest experienced since the 2004 tropical storms (Jeanne and Frances) caused flooding of low lying areas and some property. One of the hardest hit areas were near Dunns Creek, Welaka and Satsuma in Putnam county.",8
602250,FLAGLER (ZONE), ,10/06/2015,1130,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,100598,Z,38,JAX,0,0,Public, , , , , , , , ,10/06/2015,1130, , , , ,"Street flooding impacted Old Dixie Highway just north of Tomoka State Park from elevated water levels along the Intracoastal Waterway.","Persistent onshore flow combined with elevated Atlantic water levels due to much higher than normal astronomical tides with the approach and passage of the Super Harvest Blood Moon (occurred on Sept. 27) funneled a lot of water into the St. Johns River basin. Elevated water levels, some the highest experienced since the 2004 tropical storms (Jeanne and Frances) caused flooding of low lying areas and some property. One of the hardest hit areas were near Dunns Creek, Welaka and Satsuma in Putnam county.",9
602251,COASTAL DUVAL (ZONE), ,10/06/2015,1545,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,100598,Z,125,JAX,0,0,Broadcast Media, , , , , , , , ,10/06/2015,1545, , , , ,"The public reported street flooding near Hogans Creek at Market Street and Confederate Street in Springfield. Flooding was due to higher than normal water levels within the St. Johns River.","Persistent onshore flow combined with elevated Atlantic water levels due to much higher than normal astronomical tides with the approach and passage of the Super Harvest Blood Moon (occurred on Sept. 27) funneled a lot of water into the St. Johns River basin. Elevated water levels, some the highest experienced since the 2004 tropical storms (Jeanne and Frances) caused flooding of low lying areas and some property. One of the hardest hit areas were near Dunns Creek, Welaka and Satsuma in Putnam county.",10
