EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
265838,OCONEE CO.,LONG CREEK,10/26/2010,1702,Tornado, ,EF0,0,0,0,0,SC,EST-5, ,45824,C,73,GSP,0,0,NWS Storm Survey, ,0.8,150,2,SE,3,SE,LONG CREEK,10/26/2010,1703,34.751,-83.225,34.752,-83.211,"A short tornado path was surveyed in the Sumter National Forest in the area around Spy Rock Rd and Forest Service Rd 748. Several trees were snapped off or uprooted in this area.","Scattered supercell thunderstorms developed over the western Carolinas and northeast Georgia as strong wind shear and moderate instability overspread the region ahead of a strong cold front. A number of tornadoes were spawned by the storms. Only weak tornadoes affected the Upstate, though two strong tornadoes occurred in the western piedmont and foothills of North Carolina.",1
265843,OCONEE CO.,TAMASSEE,10/26/2010,1716,Tornado, ,EF0,0,0,0,0,SC,EST-5, ,45824,C,73,GSP,0,0,NWS Storm Survey, ,0.46,200,3,S,3,S,TAMASSEE,10/26/2010,1717,34.827,-83.032,34.828,-83.024,"A short tornado damage path was surveyed near the Falcon's Lair area north of Walhalla. Several trees were snapped or uprooted and one residence sustained minor damage.","Scattered supercell thunderstorms developed over the western Carolinas and northeast Georgia as strong wind shear and moderate instability overspread the region ahead of a strong cold front. A number of tornadoes were spawned by the storms. Only weak tornadoes affected the Upstate, though two strong tornadoes occurred in the western piedmont and foothills of North Carolina.",2
266021,GREENVILLE CO.,CLEVELAND,10/26/2010,1817,Tornado, ,EF0,0,0,0,0,SC,EST-5, ,45824,C,45,GSP,0,0,NWS Storm Survey, ,4.73,40,2,NE,2,NE,LIMA,10/26/2010,1827,35.086,-82.481,35.103,-82.4,"This tornado touched down near highway 11 near the Pleasant Ridge County Park, where the tops of numerous small trees were snapped off and several large trees were uprooted. The intermittent damage path continued east northeast, crossing highway 25 just north of the highway 11 junction. Damage again appeared near the intersection of Chinquapin Rd and highway 11, where the tops of several trees were snapped off along a ridge line. The most significant damage was observed just east/northeast of this location along Look Up Lodge Rd. Numerous small trees and large limbs were snapped off and several large trees were uprooted. Some minor structural damage was observed due to falling trees and limbs. Some boat docks were flipped on Chinquapin Lake as well. Sporadic tree damage continued to the east northeast, with the tornado apparently lifting between Chestnut Mountain Rd and Old Highway 11.","Scattered supercell thunderstorms developed over the western Carolinas and northeast Georgia as strong wind shear and moderate instability overspread the region ahead of a strong cold front. A number of tornadoes were spawned by the storms. Only weak tornadoes affected the Upstate, though two strong tornadoes occurred in the western piedmont and foothills of North Carolina.",3
268819,PICKENS CO.,EASLEY,11/30/2010,1945,Tornado, ,EF1,0,0,1500000,0,SC,EST-5, ,46362,C,77,GSP,0,0,NWS Storm Survey, ,2.66,125,0,WSW,2,NNE,EASLEY,11/30/2010,1949,34.829,-82.605,34.863,-82.583,"A tornado damage path was surveyed starting in the Old Market Square area near downtown Easley. Numerous buildings in the downtown area received minor to significant roof damage. Some trees fell on homes as well. The tornado appeared to lift briefly as it traveled north northeast from the downtown area. However, the damage path appeared again in the Lenhardt Rd area just north of downtown. An anchored mobile home was rolled 60 to 80 feet and completely destroyed at this location. Numerous trees were also uprooted or snapped in this area.","A strong cold front crossed the western Carolinas during the evening hours. The combination of strong wind shear and weak instability contributed to the development of a broken line of thunderstorms, a couple of which produced QLCS (non-supercell) tornadoes over the Upstate.",4
268825,LAURENS CO.,OWINGS,11/30/2010,2139,Tornado, ,EF1,0,0,50000,0,SC,EST-5, ,46362,C,59,GSP,0,0,NWS Storm Survey, ,1.99,200,3,NE,4,NNW,MARTIN XRDS,11/30/2010,2142,34.658,-82.086,34.681,-82.065,"This tornado touched down along Wynfield Court north of Gray Court and moved along an intermittent path in a north northeast direction. Some trees were snapped and an outbuilding overturned near the beginning of the damage path. The tornado skipped to Robert Harris Ct, tearing the underskirting off a mobile home. Damage intensified toward Bramlett Church Rd, where a mobile home was moved from its foundation and had some siding and underskirting removed. Some shingles were torn off homes on Harris Bridge Rd, while the roofs of a well house and storage shed were blown off as well. The tornado lifted near Christmastree Lane, where several large oak trees were uprooted, one of which fell on and damaged a home. Also, a detached garage was completely destroyed at this location.","A strong cold front crossed the western Carolinas during the evening hours. The combination of strong wind shear and weak instability contributed to the development of a broken line of thunderstorms, a couple of which produced QLCS (non-supercell) tornadoes over the Upstate.",5
285541,GREENVILLE CO.,LIMA,02/28/2011,1702,Tornado, ,EF0,0,0,0,0,SC,EST-5, ,48798,C,45,GSP,0,0,NWS Storm Survey, ,1.53,50,2,SSW,2,SSE,LIMA,02/28/2011,1703,35.053,-82.444,35.051,-82.417,"NWS survey found a short tornado path embedded within a larger area of downburst winds. The track began along Goodwin Rd, just east of Goodwin Bridge Rd. Numerous trees were snapped off or uprooted toward the northeast along the east/southeast oriented damage path that roughly paralleled Goodwin Rd. One tree fell on and damaged a mobile home. The underpinning was blown out from underneath and a metal awning tossed from another mobile home. The tornado crossed highway 25 before lifting in the Boswell Rd area just before its intersection with highway 414.","A line of showers and thunderstorms entered the mountains of the western Carolinas and northeast Georgia during the late afternoon hours. The line intensified and expanded northward as it moved out of the mountains. An environment of high shear and moderate instability supported several strong to severe storms within the line. Most the severe weather was the result of straight line winds, though there were a few reports of large hail. One QLCS tornado was spawned along a strong bowing segment over the upstate. The storms crossed the foothills and western piedmont during the early evening hours, a little ways ahead of a strong cold front.",6
276006,NEWBERRY CO.,TRINITY,02/28/2011,1924,Tornado, ,EF1,0,0,120000,0,SC,EST-5, ,47384,C,71,CAE,0,0,NWS Storm Survey, ,3.38,100,0,ESE,1,ESE,SPEARMAN,02/28/2011,1930,34.2496,-81.728,34.2447,-81.6691,"Storm Survey with Sheriff found numerous trees down from a microburst and an EF1 tornado from the northwest to northeast side of Silverstreet.  One mobile home was destroyed, one was severely damaged, and there were no injuries.","Severe thunderstorms produced wind damage and spawned one tornado as they moved across the Midlands of South Carolina.",7
292900,LAURENS CO.,CROSS HILL,03/19/2011,1715,Tornado, ,EF0,0,0,0,0,SC,EST-5, ,49840,C,59,GSP,0,0,NWS Storm Survey, ,0.2,30,3,SSW,4,SSW,CROSS HILL,03/19/2011,1716,34.2511,-81.9934,34.2483,-81.9926,"An area of weak tornado damage was embedded within downburst damage near Lake Greenwood off Amber Hill Circle. Damage was mainly limited to several trees knocked down and some windows blown out of a home due to flying debris. However, some siding was stripped off a couple of homes. Parts of trees also fell on two homes. A pontoon boat was also tossed.","Thunderstorms developed during the afternoon hours over the southeast slopes of the North Carolina Blue Ridge. The storms intensified and consolidated into a single, large supercell thunderstorm that moved southward across Upstate South Carolina. Large hail, damaging winds and a brief tornado were produced by the storm.",8
298723,DILLON CO.,LITTLE ROCK,04/16/2011,1425,Tornado, ,EF1,0,3,180000,0,SC,EST-5, ,50655,C,33,ILM,0,0,NWS Storm Survey, ,1.51,440,1,NW,2,NNE,LITTLE ROCK,04/16/2011,1426,34.4754,-79.4086,34.49,-79.3888,"A National Weather Service Storm Survey Team concluded an EF1 tornado touched down in Little Rock, South Carolina. The maximum wind speed was estimated to 105 mph. The path length was one and a half miles and the maximum path width was 440 yards. Several pine trees and a few hardwood trees were snapped. A few large hardwood trees were uprooted. As several of these trees fell, they caused significant damage to many homes near the intersection of Highway 9 and Harllees Bridge Road. There people were admitted to the hospital and later released.","A powerful storm system that had moved across the deep south during previous days, swept across the eastern Carolinas during the afternoon and evening hours. Instability and shear values were highly supportive of super-cell thunderstorms. The result was a large outbreak of severe weather including tornadoes across eastern South Carolina.",9
285479,CLARENDON CO.,GABLE,04/16/2011,1427,Tornado, ,EF0,0,0,12000,0,SC,EST-5, ,48791,C,27,CAE,0,0,NWS Storm Survey, ,9.63,40,3,S,3,SW,CENTRAL XRDS,04/16/2011,1440,33.7717,-80.0963,33.8465,-79.9547,"A NWS storm survey found an EF0 tornado in eastern Clarendon County.  The path consisted of intermittent touchdowns the took down trees.  The tornado formed near Brewington road and ended just north northeast of Union Crossroads.","Supercell thunderstorms produced very large hail and 2 tornadoes in the east Midlands and Pee Dee region of SCs.  No injuries or deaths occurred and only trees were taken down by the tornadoes.",10
