EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
598280,MANATEE CO.,TERRA CEIA,10/01/2015,849,Tornado, ,EF0,0,0,12000,0,FL,EST-5, ,99762,C,81,TBW,0,0,Department of Highways, ,0.39,30,3,WNW,3,WNW,TERRA CEIA,10/01/2015,851,27.5904,-82.6278,27.588,-82.6221,"Multiple reports were received of a waterspout that formed over the Tampa Bay and came onshore as a brief tornado near the southern end of the Skyway Bridge. The tornado crossed Interstate 275 and caused damage to a trailer. Track location was estimated based off of amateur video.","A line of scattered showers associated with a weak cold front passage produced a breif lived waterspout over the Tampa Bay that came onshore near the southern end of the Skyway Bridge as a weak tornado. The tornado crossed Interstate 275, damaging a parked trailer.",1
601724,WASHINGTON CO.,SPRING HOLLOW,11/02/2015,1054,Tornado, ,EF1,0,0,75000,0,FL,CST-6, ,100480,C,133,TAE,0,0,Emergency Manager, ,6.2,50,4,ESE,1,ESE,GILBERTS MILL,11/02/2015,1102,30.5651,-85.5547,30.6223,-85.4743,"The tornado touched down around Deltona Blvd and Peak Drive, downing a tree and a power line.  It tracked northeast to near Washington Blvd and Syfrett Road where the most significant damage occurred.  At this location, a tree was uprooted, a portion of a metal roof on a barn was torn off, a garage door was ripped off and caused a hole in the roof of a house, and a greenhouse was destroyed.  The tornado continued moving northeast, downing a tree on Highview Circle and quickly lifted thereafter.  The tornado was rated EF1 with max winds around 90 mph.  It also exhibited a tornadic debris signature on dual-pol radar.  Damage cost was estimated.","A cold front moved into the tri-state area with heavy rainfall and some severe weather.  In northwest Florida, an EF1 tornado touched down in Washington county with other straight line wind damage in Jackson county.  In addition, some flooding occurred in Walton county with over 6 inches of rain measured.",2
608586,WALTON CO.,MOSSY HEAD,11/18/2015,1135,Tornado, ,EF0,0,0,0,0,FL,CST-6, ,101770,C,131,TAE,0,0,Other Federal Agency, ,0.01,25,8,SSW,8,SSW,MOSSY HEAD,11/18/2015,1136,30.63,-86.35,30.6301,-86.3499,"A brief tornado touched down on Eglin Air Force Base property in western Walton county.  There are no structures in this area to impact, but a brief dual-pol tornadic debris signature was observed on KEVX radar with the storm.  A soil conservation technician from Eglin AFB was dispatched to investigate the area for any signs of a tornado.  The technician found green twigs of swampbay magnolia (Magnolia Virginiana) that were displaced 200 yards downstream from where they grow at the exact coordinates of the tornadic debris signature seen on dual-pol radar.  The tornado was rated EF0.","A strong upper level trough and surface cold front affected the region during November 18th.  Three tornadoes were confirmed in northwest Florida.",3
608587,WALTON CO.,LIBERTY,11/18/2015,1205,Tornado, ,EF0,0,0,0,0,FL,CST-6, ,101770,C,131,TAE,0,0,Public, ,0.07,50,1,WNW,1,WNW,LIBERTY,11/18/2015,1207,30.8231,-86.2279,30.824,-86.2273,"The public reported sighting a brief tornado touchdown near Highway 331 north of the Eglin AFB territory in western Walton county.  The tornado did not produce any structural damage.  This was the same thunderstorm that produced the brief tornado and dual-pol tornadic debris signature while over the Eglin AFB territory.","A strong upper level trough and surface cold front affected the region during November 18th.  Three tornadoes were confirmed in northwest Florida.",4
608583,GADSDEN CO.,GRETNA,11/18/2015,1805,Tornado, ,EF0,0,0,0,0,FL,EST-5, ,101770,C,39,TAE,0,0,NWS Storm Survey, ,2.67,50,1,WNW,2,NNE,GRETNA,11/18/2015,1813,30.614,-84.6823,30.637,-84.6463,"An EF0 tornado with winds estimated around 70 mph touched down in Gadsden county near Gretna and tracked northeast across Hardaway Highway.  One tree was blown down onto Hardaway Highway and a dual-pol tornadic debris signature was observed from KTLH radar at that location.  This is a rural area with no structures impacted.","A strong upper level trough and surface cold front affected the region during November 18th.  Three tornadoes were confirmed in northwest Florida.",5
612738,SANTA ROSA CO.,CHUMUCKLA,12/28/2015,830,Tornado, ,EF1,0,0,10000,0,FL,CST-6, ,102536,C,113,MOB,0,0,NWS Storm Survey, ,0.78,75,1,SW,0,NW,CHUMUCKLA,12/28/2015,832,30.7626,-87.2375,30.7736,-87.2348,"A National Weather Service survey team confirmed damage of an EF-1 tornado a little over 2 miles southwest of Chumuckla. The tornado tracked alomst a mile north-northeast before weakening to an EF-0 and dissipating. The team was unable to survey a heavily wooded area to the south. It is possible the track could extend further southward. The tornado tracked through a forested area and across an open field. Damage was generally confined to uprooted pecan trees and well as snapped cedar and pine trees. This damage is consistent with EF-1 wind speeds around 107 mph. The maximum width of the tornado was 75 yards.","A powerful upper level disturbance combined with unseasonably high moisture and instability resulted in a few severe thunderstorms and one brief tornado in the western Florida Panhandle.",6
618069,MONROE CO.,KEY COLONY BEACH,01/08/2016,630,Tornado, ,EF0,0,0,2000,0,FL,EST-5, ,103405,C,87,KEY,0,0,Local Official, ,0.09,20,1,NNE,1,NNE,KEY COLONY BEACH,01/08/2016,631,24.7315,-81.0139,24.7324,-81.0128,"A waterspout was observed as a condensation funnel cloud over a marine basin approximately 630 am EST north of Key Colony Beach and just west of the Coco Plum Drive causeway.   The waterspout was observed crossing the causeway as a tornado at a seafood distribution business damaging a metal overhang.  Tarps and canvas coverings on vessels docked in the adjacent marina were partially or completely removed, with a few torn.   No structural damage to buildings or vessels was observed.  The tornado exited the causeway as a waterspout and dissipated very shortly thereafter.","A waterspout associated with a developing rain shower moved northeast and made landfall as a tornado over a causeway in the Coco Plum section of the City of Marathon, Florida.  Minor damage resulted as the tornado exited the causeway and dissipated as a waterspout.",7
607553,LEE CO.,MATLACHA,01/09/2016,1845,Tornado, ,EF2,0,3,2000000,0,FL,EST-5, ,101524,C,71,TBW,0,0,NWS Storm Survey, ,3.35,182,4,SSE,5,NNE,PUNTA RASSA,01/09/2016,1852,26.57,-82.037,26.575,-81.983,"NWS Storm Survey revealed EF-2 tornado damage in the western sections of Cape Coral. The tornado damaged 178 structures in total. One home was completely destroyed while 14 sustained major damage and another 163 sustained minor damage. The minor damage mainly consisted of roof damage and destroyed pool cages. Over 100 power poles were knocked down along the tornado's path along with many trees. The tornado injured three people while it was on the ground for about 7 minutes.","A band of showers and thunderstorms moved across southwest Florida ahead of a cold front. One of these storms produced an EF-2 tornado and severe wind gusts in Lee county.",8
609325,LEE CO.,WHISKEY CREEK,01/15/2016,1110,Tornado, ,EF1,0,0,200000,0,FL,EST-5, ,101853,C,71,TBW,0,0,NWS Storm Survey, ,0.19,45,2,SSW,2,SSW,WHISKEY CREEK,01/15/2016,1112,26.5503,-81.9126,26.552,-81.9102,"NWS Storm Survey detected EF-1 tornado damage across a small portion of Lee County. A roof was partially torn off a condo in the Whiskey Creek area. Damage was also seen to a few palm trees in the area. Four structures sustained damage.","A low pressure system offshore of Alabama lifted a warm front across Florida during the late morning hours. The southern portion of the peninsula was in the warm sector with a very moist and unstable airmass in place. Severe thunderstorms produced areas of straight-line wind damage along with a brief tornado.",9
609339,SARASOTA CO.,PINE SHRS,01/17/2016,310,Tornado, ,EF2,0,2,12000000,0,FL,EST-5, ,101881,C,115,TBW,0,0,NWS Storm Survey, ,1.15,350,1,WNW,1,S,SOUTH SARASOTA,01/17/2016,315,27.253,-82.5396,27.2663,-82.5284,"An NWS Storm Survey crew found damage to multiple homes and structures along the path of the tornado. One home on Siesta Key had the second floor collapse on to the first. Two people were injured in that home. The tornado was 350 yards wide as it came ashore on Siesta Key before narrowing to around 100 yards wide as it crossed the intercoastal waterways.","A strong and deepening area of low pressure across the northern Gulf pushed a strong line of thunderstorms across the Florida peninsula. Numerous supercell thunderstorms were observed and a few produced strong tornadoes along and near the coast.",10
