EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
267529,ADAIR CO.,WESTVILLE,12/31/2010,605,Tornado, ,EF2,0,0,60000,0,OK,CST-6, ,46132,C,1,TSA,0,0,NWS Storm Survey, ,2.1,250,1,NNE,3,NE,WESTVILLE,12/31/2010,608,35.9977,-94.5655,36.0176,-94.5374,"This segment is the first of six segments of this long-track tornado. A tornado developed just northeast of Westville and moved rapidly northeastward damaging a home, tossing or rolling four vehicles, snapping at least 13 large power poles, and snapping or uprooting large trees. Estimated maximum wind based on this damage was 125 mph. This tornado continued into Washington County, Arkansas.","Unseasonably warm and moist air spread into eastern Oklahoma ahead of a cold front. Scattered thunderstorms developed in the late evening and early morning hours ahead of the cold front as a weak upper level disturbance passed through the region. Large hail and damaging wind gusts occurred with some of these storms. Another round of storms developed on the cold front as it moved into eastern Oklahoma a few hours before sunrise. Weak to moderate instability combined with very strong low level wind shear created an environment that supported supercell thunderstorm structures. Several supercells developed resulting in large hail and damaging wind gusts in the hours just before and after sunrise on the 31st. One of these supercells produced a long-track, strong tornado that began in Adair County, Oklahoma, and moved into Washington County, Arkansas, where it killed four people in and near the town of Cincinnati.",1
285741,OSAGE CO.,GRAINOLA,02/27/2011,1821,Tornado, ,EF0,0,0,0,0,OK,CST-6, ,48573,C,113,TSA,0,0,Broadcast Media, ,2.4,50,3,NNW,4,NNE,GRAINOLA,02/27/2011,1823,36.9901,-96.6708,36.999,-96.6292,"A KOTV meteorologist witnessed a tornado from the station's helicopter during a live broadcast. The tornado remained over open country and thus resulted in no damage. The tornado continued into Cowley County Kansas.","The combination of a pacific cold front and dry line moving through the region with moist and unstable air in place ahead of them resulted in the development of severe thunderstorms during the evening of the 27th.",2
302758,OSAGE CO.,BURBANK,04/14/2011,1512,Tornado, ,EF0,0,0,0,0,OK,CST-6, ,49638,C,113,TSA,0,0,NWS Storm Survey, ,0.4,40,1,ENE,1,ENE,BURBANK,04/14/2011,1513,36.7033,-96.706,36.7084,-96.6997,"A tornado snapped large tree limbs. A storm chaser witnessed this tornado. Maximum estimated wind in the tornado based on the damage was about 75 mph.","Low pressure was centered over southern Kansas during the early afternoon of the 14th with a sharp dryline extending from the low pressure system through central Oklahoma. A moist and very unstable air mass was in place across eastern Oklahoma ahead of the dryline. Severe thunderstorms developed along the dryline during the afternoon and moved into eastern Oklahoma during the early evening hours. Large hail up to grapefruit size, damaging wind gusts, and numerous tornadoes occurred as the storms moved through the region.",3
285058,LINCOLN CO.,STROUD,04/14/2011,1542,Tornado, ,EF0,0,0,0,0,OK,CST-6, ,48744,C,81,OUN,0,0,Emergency Manager, ,0.3,40,2,NNW,2,NNW,STROUD,04/14/2011,1542,35.7767,-96.6737,35.7767,-96.6737,"Numerous sources (storm chasers, emergency managers, local media) reported a brief tornado that occurred over an open field. No damage was reported as a result of the tornado, although some minor damage occurred as as result of the RFD. The time was approximate.","An upper level trough moved onshore along the west coast on the 13th, and continued east toward the plains. The storm system strengthened as it moved east of the Rocky mountains, eventually becoming a major storm system, with blizzard conditions on the west and north sides of it, and powerful thunderstorms to the south and east. A surface low pressure moved from the Texas panhandle into southern Kansas, with a dry line extending to the south. The dry line moved quickly east before slowing to the east of I-35 in Oklahoma. Dew point temperatures reached the middle 60s east of the dry line, with bone-dry conditions advecting in on the back side of the dry line. The cap that was in place was all but erased by mid afternoon, and thunderstorms quickly developed over eastern Oklahoma. The wind shear in place was more than sufficient for rotating thunderstorms, with most storms become supercells. Very large hail and wind damage was common early in the thunderstorm life cycle. A weak tornado developed northwest of Stroud, with other storms showing signs of rotation by late afternoon. Additional tornadoes developed through the early evening, with a couple of them doing damage. The tornadoes were in addition to the hail up to softball size. By late evening, at least five tornadoes were reported, with one of them rated and EF-3.",4
302759,OSAGE CO.,HOMINY ARPT,04/14/2011,1600,Tornado, ,EF2,0,0,25000,0,OK,CST-6, ,49638,C,113,TSA,0,0,NWS Storm Survey, ,1,275,2,NNW,2,N,HOMINY ARPT,04/14/2011,1603,36.4523,-96.3937,36.4622,-96.38,"A tornado damaged a metal building and a permanent home. It also snapped power poles and trees. Maximum estimated wind in the tornado based on this damage was about 115 mph. Several storm chasers witnessed this tornado.","Low pressure was centered over southern Kansas during the early afternoon of the 14th with a sharp dryline extending from the low pressure system through central Oklahoma. A moist and very unstable air mass was in place across eastern Oklahoma ahead of the dryline. Severe thunderstorms developed along the dryline during the afternoon and moved into eastern Oklahoma during the early evening hours. Large hail up to grapefruit size, damaging wind gusts, and numerous tornadoes occurred as the storms moved through the region.",5
305893,PONTOTOC CO.,STONEWALL,04/14/2011,1624,Tornado, ,EF1,0,0,8000,0,OK,CST-6, ,48744,C,123,OUN,0,0,Storm Chaser, ,1,50,3,SSW,2,S,STONEWALL,04/14/2011,1625,34.6166,-96.5468,34.6211,-96.53,"Radar, storm chaser, and local medial reported a small tornado. The tornado was embedded in a larger area of thunderstorm wind damage associated with the rear-flank downdraft. A number of large trees were snapped. One tree fell on top of a car, damaging it. Monetary damages were estimated.","An upper level trough moved onshore along the west coast on the 13th, and continued east toward the plains. The storm system strengthened as it moved east of the Rocky mountains, eventually becoming a major storm system, with blizzard conditions on the west and north sides of it, and powerful thunderstorms to the south and east. A surface low pressure moved from the Texas panhandle into southern Kansas, with a dry line extending to the south. The dry line moved quickly east before slowing to the east of I-35 in Oklahoma. Dew point temperatures reached the middle 60s east of the dry line, with bone-dry conditions advecting in on the back side of the dry line. The cap that was in place was all but erased by mid afternoon, and thunderstorms quickly developed over eastern Oklahoma. The wind shear in place was more than sufficient for rotating thunderstorms, with most storms become supercells. Very large hail and wind damage was common early in the thunderstorm life cycle. A weak tornado developed northwest of Stroud, with other storms showing signs of rotation by late afternoon. Additional tornadoes developed through the early evening, with a couple of them doing damage. The tornadoes were in addition to the hail up to softball size. By late evening, at least five tornadoes were reported, with one of them rated and EF-3.",6
302760,OKFUSKEE CO.,WELTY,04/14/2011,1638,Tornado, ,EF0,0,0,0,0,OK,CST-6, ,49638,C,107,TSA,0,0,Trained Spotter, ,0.2,50,4,SSW,4,SSW,WELTY,04/14/2011,1638,35.5665,-96.4272,35.5665,-96.4272,"A brief tornado developed over open country. The tornado resulted in no known damage.","Low pressure was centered over southern Kansas during the early afternoon of the 14th with a sharp dryline extending from the low pressure system through central Oklahoma. A moist and very unstable air mass was in place across eastern Oklahoma ahead of the dryline. Severe thunderstorms developed along the dryline during the afternoon and moved into eastern Oklahoma during the early evening hours. Large hail up to grapefruit size, damaging wind gusts, and numerous tornadoes occurred as the storms moved through the region.",7
302762,WASHINGTON CO.,OCHELATA,04/14/2011,1639,Tornado, ,EF0,0,0,0,0,OK,CST-6, ,49638,C,147,TSA,0,0,Broadcast Media, ,0.1,50,1,W,1,W,OCHELATA,04/14/2011,1639,36.6,-95.998,36.6,-95.998,"Storm chasers for KOTV witnessed a brief tornado over open country. The tornado resulted in no known damage.","Low pressure was centered over southern Kansas during the early afternoon of the 14th with a sharp dryline extending from the low pressure system through central Oklahoma. A moist and very unstable air mass was in place across eastern Oklahoma ahead of the dryline. Severe thunderstorms developed along the dryline during the afternoon and moved into eastern Oklahoma during the early evening hours. Large hail up to grapefruit size, damaging wind gusts, and numerous tornadoes occurred as the storms moved through the region.",8
302765,WASHINGTON CO.,OCHELATA,04/14/2011,1644,Tornado, ,EF0,0,0,0,0,OK,CST-6, ,49638,C,147,TSA,0,0,Emergency Manager, ,0.1,50,2,N,2,N,OCHELATA,04/14/2011,1644,36.629,-95.98,36.629,-95.98,"Spotters with Washington County Emergency Management witnessed a brief tornado over open country. The tornado resulted in no known damage.","Low pressure was centered over southern Kansas during the early afternoon of the 14th with a sharp dryline extending from the low pressure system through central Oklahoma. A moist and very unstable air mass was in place across eastern Oklahoma ahead of the dryline. Severe thunderstorms developed along the dryline during the afternoon and moved into eastern Oklahoma during the early evening hours. Large hail up to grapefruit size, damaging wind gusts, and numerous tornadoes occurred as the storms moved through the region.",9
285071,MARSHALL CO.,MADILL,04/14/2011,1703,Tornado, ,EF1,0,0,0,0,OK,CST-6, ,48744,C,95,OUN,0,0,NWS Storm Survey, ,8,300,3,NNW,6,NNW,LITTLE CITY,04/14/2011,1715,34.1301,-96.7901,34.161,-96.657,"This tornado began three miles north-northwest of Madill and continued northeast into Johnston county. It finally lifted three miles south-southwest of Milburn. Damage was reported to several structures, with widespread tree/power pole/line damage. Monetary damages estimates were not available.","An upper level trough moved onshore along the west coast on the 13th, and continued east toward the plains. The storm system strengthened as it moved east of the Rocky mountains, eventually becoming a major storm system, with blizzard conditions on the west and north sides of it, and powerful thunderstorms to the south and east. A surface low pressure moved from the Texas panhandle into southern Kansas, with a dry line extending to the south. The dry line moved quickly east before slowing to the east of I-35 in Oklahoma. Dew point temperatures reached the middle 60s east of the dry line, with bone-dry conditions advecting in on the back side of the dry line. The cap that was in place was all but erased by mid afternoon, and thunderstorms quickly developed over eastern Oklahoma. The wind shear in place was more than sufficient for rotating thunderstorms, with most storms become supercells. Very large hail and wind damage was common early in the thunderstorm life cycle. A weak tornado developed northwest of Stroud, with other storms showing signs of rotation by late afternoon. Additional tornadoes developed through the early evening, with a couple of them doing damage. The tornadoes were in addition to the hail up to softball size. By late evening, at least five tornadoes were reported, with one of them rated and EF-3.",10
